Table S5: Skewing of ABIS-samples as measured by mini-TRiXi using 2 out of 5 repeats.			
sample	mean_skewing	TRiXi1_skewing	TRiXi3_skewing
321482	55.7	homozygous	55.7
324194	55.7	51.3	60.1
300880	55.6	56.5	54.8
300966	55.6	homozygous	55.6
301276	55.6	homozygous	55.6
301548	55.6	55.6	homozygous
301555	55.6	55.6	homozygous
307976	55.6	homozygous	55.6
302714	55.5	homozygous	55.5
318497	55.5	58.9	52.2
322757	55.5	54	57.1
300899	55.4	55	55.7
301245	55.4	58.6	52.1
307937	55.4	52.3	58.5
301106	55.3	57.9	52.8
301511	55.3	homozygous	55.3
307837	55.3	52.3	58.3
322779	55.3	homozygous	55.3
300036	55.2	57.7	52.7
300211	55.2	54.6	55.9
300517	55.2	homozygous	55.2
300868	55.2	55.2	homozygous
301052	55.2	homozygous	55.2
302753	55.2	55.2	55.3
303518	55.2	51	59.5
315222	55.2	52.1	58.4
300962	55.1	51.4	58.8
301091	55.1	55.9	54.3
301150	55.1	homozygous	55.1
317636	55.1	54.7	55.5
302889	54.9	53.1	56.7
300963	54.8	55.8	53.9
307933	54.8	50.2	59.3
301539	54.7	54.7	homozygous
303778	54.7	54.7	homozygous
316680	54.7	homozygous	54.7
301195	54.6	52.2	57
303756	54.6	54.6	homozygous
300154	54.5	homozygous	54.5
300616	54.5	56.6	52.5
301202	54.5	57.4	51.7
303201	54.5	53.5	55.6
303307	54.5	52.8	56.3
318333	54.5	58.8	50.1
319711	54.5	54.5	homozygous
300236	54.4	52.4	56.4
300496	54.4	52.3	56.5
300524	54.4	56.1	52.7
301255	54.4	56.8	52
301456	54.4	58.6	50.2
300555	54.3	51.3	57.4
319189	54.3	54.4	54.2
300860	54.2	51.1	57.2
300911	54.2	56.5	52
302862	54.2	54.2	54.3
303544	54.2	54.2	homozygous
300567	54.1	54.1	homozygous
301284	54.1	homozygous	54.1
317204	54.1	homozygous	54.1
300418	53.9	homozygous	53.9
301510	53.9	52.4	55.4
303286	53.9	53.9	homozygous
303660	53.9	homozygous	53.9
307903	53.9	57.7	50.1
318029	53.9	53.4	54.4
320841	53.9	homozygous	53.9
301024	53.8	53.8	homozygous
305391	53.8	56.8	50.8
302871	53.7	homozygous	53.7
303510	53.7	54.4	53
300566	53.6	homozygous	53.6
300978	53.6	53.6	homozygous
302767	53.6	52.7	54.5
