sample	variable	skewing	skewed
GTEX-Y3IK	GTEx - whole blood	58.6	not_skewed
GTEX-Y5LM	GTEx - whole blood	70.8	not_skewed
GTEX-Y5V5	GTEx - whole blood	60	not_skewed
GTEX-Y8LW	GTEx - whole blood	57.1	not_skewed
GTEX-YB5K	GTEx - whole blood	57.3	not_skewed
GTEX-YBZK	GTEx - whole blood	66.7	not_skewed
GTEX-ZC5H	GTEx - whole blood	60.7	not_skewed
GTEX-ZE7O	GTEx - whole blood	73.3	not_skewed
GTEX-ZF29	GTEx - whole blood	87.1	skewed
GTEX-ZF2S	GTEx - whole blood	60.7	not_skewed
GTEX-ZF3C	GTEx - whole blood	94.7	skewed
GTEX-ZGAY	GTEx - whole blood	58.6	not_skewed
GTEX-ZLV1	GTEx - whole blood	68	not_skewed
GTEX-ZP4G	GTEx - whole blood	78.5	not_skewed
GTEX-ZPCL	GTEx - whole blood	67.9	not_skewed
GTEX-ZTPG	GTEx - whole blood	76.7	not_skewed
GTEX-ZV68	GTEx - whole blood	82.2	skewed
GTEX-ZVT2	GTEx - whole blood	64.9	not_skewed
GTEX-ZVT3	GTEx - whole blood	57.1	not_skewed
GTEX-ZVT4	GTEx - whole blood	77.8	not_skewed
GTEX-ZVZQ	GTEx - whole blood	71.7	not_skewed
GTEX-ZXES	GTEx - whole blood	87.5	skewed
205766	TRiXi - whole blood	59.233	not_skewed
300008	TRiXi - whole blood	66.067	not_skewed
300036	TRiXi - whole blood	55.2	not_skewed
300046	TRiXi - whole blood	58.9	not_skewed
300049	TRiXi - whole blood	56.867	not_skewed
300053	TRiXi - whole blood	70.1	not_skewed
300055	TRiXi - whole blood	62.133	not_skewed
300063	TRiXi - whole blood	56.3	not_skewed
300069	TRiXi - whole blood	81.7	skewed
300074	TRiXi - whole blood	53.033	not_skewed
300077	TRiXi - whole blood	72.433	not_skewed
300079	TRiXi - whole blood	59.2	not_skewed
300085	TRiXi - whole blood	70.6	not_skewed
300086	TRiXi - whole blood	60.867	not_skewed
300087	TRiXi - whole blood	81.667	skewed
300089	TRiXi - whole blood	52.8	not_skewed
300091	TRiXi - whole blood	64	not_skewed
300093	TRiXi - whole blood	57.4	not_skewed
300098	TRiXi - whole blood	77.9	not_skewed
300100	TRiXi - whole blood	68.9	not_skewed
300115	TRiXi - whole blood	53.033	not_skewed
300120	TRiXi - whole blood	56.033	not_skewed
300133	TRiXi - whole blood	53.1	not_skewed
300137	TRiXi - whole blood	84.3	skewed
300146	TRiXi - whole blood	52.7	not_skewed
300151	TRiXi - whole blood	72.2	not_skewed
300154	TRiXi - whole blood	54.5	not_skewed
300156	TRiXi - whole blood	79.567	not_skewed
300159	TRiXi - whole blood	64.1	not_skewed
300162	TRiXi - whole blood	59.7	not_skewed
300172	TRiXi - whole blood	56.7	not_skewed
300173	TRiXi - whole blood	50.4	not_skewed
300177	TRiXi - whole blood	70.7	not_skewed
300178	TRiXi - whole blood	58.967	not_skewed
300184	TRiXi - whole blood	59.3	not_skewed
300186	TRiXi - whole blood	60.533	not_skewed
300188	TRiXi - whole blood	53.5	not_skewed
300190	TRiXi - whole blood	56.467	not_skewed
300191	TRiXi - whole blood	50.867	not_skewed
300195	TRiXi - whole blood	63.7	not_skewed
300199	TRiXi - whole blood	78.6	not_skewed
300200	TRiXi - whole blood	64.667	not_skewed
300205	TRiXi - whole blood	53.2	not_skewed
300207	TRiXi - whole blood	55.033	not_skewed
300211	TRiXi - whole blood	55.233	not_skewed
300212	TRiXi - whole blood	66.2	not_skewed
300214	TRiXi - whole blood	50.3	not_skewed
300215	TRiXi - whole blood	63.7	not_skewed
300216	TRiXi - whole blood	50.2	not_skewed
300223	TRiXi - whole blood	59.967	not_skewed
300226	TRiXi - whole blood	72.6	not_skewed
300236	TRiXi - whole blood	54.4	not_skewed
300239	TRiXi - whole blood	61.533	not_skewed
300242	TRiXi - whole blood	63.3	not_skewed
300244	TRiXi - whole blood	56.533	not_skewed
300247	TRiXi - whole blood	67	not_skewed
300259	TRiXi - whole blood	56.8	not_skewed
300285	TRiXi - whole blood	89.6	skewed
300318	TRiXi - whole blood	50.833	not_skewed
300329	TRiXi - whole blood	56.467	not_skewed
300332	TRiXi - whole blood	51.4	not_skewed
300402	TRiXi - whole blood	66.4	not_skewed
300417	TRiXi - whole blood	54.033	not_skewed
300418	TRiXi - whole blood	53.9	not_skewed
300431	TRiXi - whole blood	63.7	not_skewed
300432	TRiXi - whole blood	57.1	not_skewed
300435	TRiXi - whole blood	61.7	not_skewed
300444	TRiXi - whole blood	52.2	not_skewed
300450	TRiXi - whole blood	61.867	not_skewed
300454	TRiXi - whole blood	57.2	not_skewed
300455	TRiXi - whole blood	70.967	not_skewed
300457	TRiXi - whole blood	52.467	not_skewed
300459	TRiXi - whole blood	62.6	not_skewed
300463	TRiXi - whole blood	67.9	not_skewed
300468	TRiXi - whole blood	51.033	not_skewed
300476	TRiXi - whole blood	55.9	not_skewed
300480	TRiXi - whole blood	63.5	not_skewed
300496	TRiXi - whole blood	54.4	not_skewed
300498	TRiXi - whole blood	61.4	not_skewed
300513	TRiXi - whole blood	64.433	not_skewed
300515	TRiXi - whole blood	85.8	skewed
300516	TRiXi - whole blood	55.033	not_skewed
300517	TRiXi - whole blood	55.2	not_skewed
300521	TRiXi - whole blood	61.833	not_skewed
300523	TRiXi - whole blood	58.9	not_skewed
300524	TRiXi - whole blood	54.4	not_skewed
300528	TRiXi - whole blood	58.467	not_skewed
300530	TRiXi - whole blood	68.3	not_skewed
300537	TRiXi - whole blood	52.3	not_skewed
300540	TRiXi - whole blood	57.8	not_skewed
300541	TRiXi - whole blood	64.167	not_skewed
300543	TRiXi - whole blood	52.4	not_skewed
300547	TRiXi - whole blood	51.2	not_skewed
300549	TRiXi - whole blood	70.4	not_skewed
300551	TRiXi - whole blood	52.2	not_skewed
300554	TRiXi - whole blood	56.033	not_skewed
300555	TRiXi - whole blood	54.333	not_skewed
300556	TRiXi - whole blood	63.9	not_skewed
300558	TRiXi - whole blood	57.367	not_skewed
300559	TRiXi - whole blood	64	not_skewed
300562	TRiXi - whole blood	67	not_skewed
300566	TRiXi - whole blood	53.6	not_skewed
300567	TRiXi - whole blood	54.1	not_skewed
300568	TRiXi - whole blood	59.7	not_skewed
300570	TRiXi - whole blood	60.8	not_skewed
300578	TRiXi - whole blood	57.533	not_skewed
300600	TRiXi - whole blood	64.567	not_skewed
300609	TRiXi - whole blood	56.8	not_skewed
300616	TRiXi - whole blood	54.533	not_skewed
300617	TRiXi - whole blood	72.5	not_skewed
300619	TRiXi - whole blood	58.133	not_skewed
300623	TRiXi - whole blood	59.5	not_skewed
300845	TRiXi - whole blood	63.033	not_skewed
300848	TRiXi - whole blood	78	not_skewed
300850	TRiXi - whole blood	56.633	not_skewed
300855	TRiXi - whole blood	52.2	not_skewed
300860	TRiXi - whole blood	54.167	not_skewed
300862	TRiXi - whole blood	66.033	not_skewed
300868	TRiXi - whole blood	55.2	not_skewed
300869	TRiXi - whole blood	62.4	not_skewed
300878	TRiXi - whole blood	60.233	not_skewed
300880	TRiXi - whole blood	55.633	not_skewed
300882	TRiXi - whole blood	60.8	not_skewed
300884	TRiXi - whole blood	65	not_skewed
300891	TRiXi - whole blood	64.3	not_skewed
300896	TRiXi - whole blood	69.9	not_skewed
300899	TRiXi - whole blood	55.367	not_skewed
300907	TRiXi - whole blood	62.1	not_skewed
300908	TRiXi - whole blood	63.6	not_skewed
300910	TRiXi - whole blood	62.367	not_skewed
300911	TRiXi - whole blood	54.233	not_skewed
300912	TRiXi - whole blood	53.967	not_skewed
300915	TRiXi - whole blood	55.8	not_skewed
300922	TRiXi - whole blood	55.033	not_skewed
300926	TRiXi - whole blood	66.4	not_skewed
300928	TRiXi - whole blood	50.467	not_skewed
300935	TRiXi - whole blood	63.967	not_skewed
300941	TRiXi - whole blood	57.4	not_skewed
300946	TRiXi - whole blood	56.3	not_skewed
300955	TRiXi - whole blood	50.6	not_skewed
300957	TRiXi - whole blood	76.3	not_skewed
300962	TRiXi - whole blood	55.1	not_skewed
300963	TRiXi - whole blood	54.833	not_skewed
300966	TRiXi - whole blood	55.6	not_skewed
300968	TRiXi - whole blood	51.4	not_skewed
300972	TRiXi - whole blood	62.3	not_skewed
300974	TRiXi - whole blood	65.1	not_skewed
300975	TRiXi - whole blood	61.667	not_skewed
300978	TRiXi - whole blood	53.6	not_skewed
300992	TRiXi - whole blood	58.9	not_skewed
300996	TRiXi - whole blood	70.667	not_skewed
301000	TRiXi - whole blood	59.767	not_skewed
301001	TRiXi - whole blood	89.9	skewed
301003	TRiXi - whole blood	55.9	not_skewed
301007	TRiXi - whole blood	60.833	not_skewed
301009	TRiXi - whole blood	57.8	not_skewed
301013	TRiXi - whole blood	53	not_skewed
301014	TRiXi - whole blood	57	not_skewed
301015	TRiXi - whole blood	62.367	not_skewed
301021	TRiXi - whole blood	53.5	not_skewed
301024	TRiXi - whole blood	53.8	not_skewed
301025	TRiXi - whole blood	61.233	not_skewed
301028	TRiXi - whole blood	70	not_skewed
301032	TRiXi - whole blood	66.233	not_skewed
301033	TRiXi - whole blood	74.5	not_skewed
301039	TRiXi - whole blood	56.233	not_skewed
301042	TRiXi - whole blood	50.767	not_skewed
301045	TRiXi - whole blood	53.967	not_skewed
301052	TRiXi - whole blood	55.2	not_skewed
301064	TRiXi - whole blood	53.1	not_skewed
301065	TRiXi - whole blood	60.967	not_skewed
301086	TRiXi - whole blood	57.1	not_skewed
301088	TRiXi - whole blood	71.233	not_skewed
301091	TRiXi - whole blood	55.1	not_skewed
301092	TRiXi - whole blood	63.467	not_skewed
301095	TRiXi - whole blood	51.6	not_skewed
301099	TRiXi - whole blood	64.2	not_skewed
301102	TRiXi - whole blood	51.6	not_skewed
301104	TRiXi - whole blood	73.767	not_skewed
301105	TRiXi - whole blood	52.533	not_skewed
301106	TRiXi - whole blood	55.333	not_skewed
