sample	variable	value	XCI pattern
300955	TRiXi1	50.6	mosaic
300957	mean	76.3	skewed
300957	TRiXi1	72.4	skewed
300957	TRiXi3	80.2	skewed
300962	mean	55.1	mosaic
300962	TRiXi1	51.4	mosaic
300962	TRiXi3	58.8	mosaic
300963	mean	54.8	mosaic
300963	TRiXi1	55.8	mosaic
300963	TRiXi3	53.9	mosaic
300966	mean	55.6	mosaic
300966	TRiXi3	55.6	mosaic
300968	mean	51.4	mosaic
300968	TRiXi1	50.3	mosaic
300968	TRiXi3	52.5	mosaic
300972	mean	62.3	mosaic
300972	TRiXi1	62.3	mosaic
300974	mean	65.1	mosaic
300974	TRiXi1	66.1	mosaic
300974	TRiXi3	64.1	mosaic
300975	mean	61.7	mosaic
300975	TRiXi1	60.7	mosaic
300975	TRiXi3	62.6	mosaic
300978	mean	53.6	mosaic
300978	TRiXi1	53.6	mosaic
300992	mean	58.9	mosaic
300992	TRiXi1	62.6	mosaic
300992	TRiXi3	55.2	mosaic
300996	mean	70.7	mosaic
300996	TRiXi1	70.3	mosaic
300996	TRiXi3	71	mosaic
301000	mean	59.8	mosaic
301000	TRiXi1	60.6	mosaic
301000	TRiXi3	58.9	mosaic
301001	mean	89.9	extremely skewed
301001	TRiXi3	89.9	extremely skewed
301003	mean	55.9	mosaic
301003	TRiXi1	55.9	mosaic
301003	TRiXi3	55.9	mosaic
301007	mean	60.8	mosaic
301007	TRiXi1	66.8	mosaic
301007	TRiXi3	54.9	mosaic
301009	mean	57.8	mosaic
301009	TRiXi3	57.8	mosaic
301013	mean	53	mosaic
301013	TRiXi3	53	mosaic
301014	mean	57	mosaic
301014	TRiXi1	55.5	mosaic
301014	TRiXi3	58.5	mosaic
301015	mean	62.4	mosaic
301015	TRiXi1	67.5	mosaic
301015	TRiXi3	57.2	mosaic
301021	mean	53.5	mosaic
301021	TRiXi1	52.7	mosaic
301021	TRiXi3	54.3	mosaic
301024	mean	53.8	mosaic
301024	TRiXi1	53.8	mosaic
301025	mean	61.2	mosaic
301025	TRiXi1	62.1	mosaic
301025	TRiXi3	60.4	mosaic
301028	mean	70	mosaic
301028	TRiXi1	68.8	mosaic
301028	TRiXi3	71.2	mosaic
301032	mean	66.2	mosaic
301032	TRiXi1	73.1	mosaic
301032	TRiXi3	59.4	mosaic
301033	mean	74.5	skewed
301033	TRiXi1	76.7	skewed
301033	TRiXi3	72.3	skewed
301039	mean	56.2	mosaic
301039	TRiXi1	57	mosaic
301039	TRiXi3	55.5	mosaic
301042	mean	50.8	mosaic
301042	TRiXi1	50.1	mosaic
301042	TRiXi3	51.4	mosaic
301045	mean	54	mosaic
301045	TRiXi1	50.6	mosaic
301045	TRiXi3	57.3	mosaic
301052	mean	55.2	mosaic
301052	TRiXi3	55.2	mosaic
301064	mean	53.1	mosaic
301064	TRiXi1	56.1	mosaic
301064	TRiXi3	50.1	mosaic
301065	mean	61	mosaic
301065	TRiXi1	58.3	mosaic
301065	TRiXi3	63.6	mosaic
301086	mean	57.1	mosaic
301086	TRiXi1	60.1	mosaic
301086	TRiXi3	54.1	mosaic
301088	mean	71.2	skewed
301088	TRiXi1	65.9	skewed
301088	TRiXi3	76.6	skewed
301091	mean	55.1	mosaic
301091	TRiXi1	55.9	mosaic
301091	TRiXi3	54.3	mosaic
301092	mean	63.5	mosaic
301092	TRiXi1	59.1	mosaic
301092	TRiXi3	67.8	mosaic
301095	mean	51.6	mosaic
301095	TRiXi1	51.6	mosaic
301099	mean	64.2	mosaic
301099	TRiXi3	64.2	mosaic
301102	mean	51.6	mosaic
301102	TRiXi1	51.6	mosaic
301104	mean	73.8	skewed
301104	TRiXi1	71.9	skewed
301104	TRiXi3	75.6	skewed
301105	mean	52.5	mosaic
301105	TRiXi1	50.5	mosaic
301105	TRiXi3	54.6	mosaic
301106	mean	55.3	mosaic
301106	TRiXi1	57.9	mosaic
301106	TRiXi3	52.8	mosaic
301107	mean	62.1	mosaic
301107	TRiXi1	61.4	mosaic
301107	TRiXi3	62.9	mosaic
301111	mean	51.4	mosaic
301111	TRiXi3	51.4	mosaic
301116	mean	52.5	mosaic
301116	TRiXi1	54.4	mosaic
301116	TRiXi3	50.6	mosaic
301121	mean	61.3	mosaic
301121	TRiXi1	56.7	mosaic
301121	TRiXi3	65.9	mosaic
301125	mean	66.9	mosaic
301125	TRiXi1	66.9	mosaic
301127	mean	52.2	mosaic
301127	TRiXi1	50.7	mosaic
301127	TRiXi3	53.6	mosaic
301134	mean	50.9	mosaic
301134	TRiXi1	51.2	mosaic
301134	TRiXi3	50.5	mosaic
301139	mean	64.2	mosaic
301139	TRiXi1	55.9	mosaic
301139	TRiXi3	72.5	mosaic
301140	mean	50.4	mosaic
301140	TRiXi1	50.4	mosaic
301143	mean	55	mosaic
301143	TRiXi1	53.6	mosaic
301143	TRiXi3	56.4	mosaic
301144	mean	52.3	mosaic
301144	TRiXi1	52.3	mosaic
301149	mean	62.4	mosaic
301149	TRiXi3	62.4	mosaic
301150	mean	55.1	mosaic
301150	TRiXi3	55.1	mosaic
301151	mean	66.8	mosaic
301151	TRiXi1	66.8	mosaic
301152	mean	57	mosaic
301152	TRiXi1	58.4	mosaic
301152	TRiXi3	55.6	mosaic
301154	mean	58.3	mosaic
301154	TRiXi1	59.5	mosaic
301154	TRiXi3	57.1	mosaic
301160	mean	53.4	mosaic
301160	TRiXi1	50.7	mosaic
301160	TRiXi3	56.1	mosaic
301168	mean	66.8	mosaic
301168	TRiXi1	68.8	mosaic
301168	TRiXi3	64.8	mosaic
301170	mean	74	skewed
301170	TRiXi1	76.8	skewed
301170	TRiXi3	71.3	skewed
301173	mean	59.4	mosaic
301173	TRiXi1	59.4	mosaic
301184	mean	52.5	mosaic
301184	TRiXi1	51.7	mosaic
301184	TRiXi3	53.2	mosaic
301190	mean	60.9	mosaic
301190	TRiXi1	63	mosaic
301190	TRiXi3	58.7	mosaic
301191	mean	65.8	mosaic
301191	TRiXi1	72.4	mosaic
301191	TRiXi3	59.1	mosaic
301195	mean	54.6	mosaic
301195	TRiXi1	52.2	mosaic
301195	TRiXi3	57	mosaic
301197	mean	51	mosaic
301197	TRiXi3	51	mosaic
301198	mean	63.5	mosaic
301198	TRiXi3	63.5	mosaic
301202	mean	54.5	mosaic
301202	TRiXi1	57.4	mosaic
301202	TRiXi3	51.7	mosaic
301206	mean	53	mosaic
301206	TRiXi1	54	mosaic
301206	TRiXi3	52	mosaic
301209	mean	72.1	skewed
301209	TRiXi1	71.3	skewed
301209	TRiXi3	72.9	skewed
301213	mean	88.6	extremely skewed
301213	TRiXi3	88.6	extremely skewed
301215	mean	61.5	mosaic
301215	TRiXi1	61.4	mosaic
301215	TRiXi3	61.7	mosaic
