sample	variable	n	min	max	median	iqr	mean	sd	se	ci	XCI pattern
303683	value	2	63.1	63.1	63.1	0	63.1	0	0	0	mosaic
303684	value	3	86.8	88.2	87.5	0.7	87.5	0.7	0.404	1.739	extremely skewed
303686	value	2	82.5	82.5	82.5	0	82.5	0	0	0	extremely skewed
303688	value	3	72	72.8	72.4	0.4	72.4	0.4	0.231	0.994	skewed
303690	value	3	50.9	67.8	59.3	8.45	59.333	8.45	4.879	20.991	mosaic
303695	value	3	63.7	77.6	70.7	6.95	70.667	6.95	4.013	17.265	mosaic
303699	value	3	50.3	64.2	57.2	6.95	57.233	6.95	4.013	17.265	mosaic
303703	value	3	81.9	84.3	83.1	1.2	83.1	1.2	0.693	2.981	extremely skewed
303704	value	2	50.3	50.3	50.3	0	50.3	0	0	0	mosaic
303712	value	2	62.4	62.4	62.4	0	62.4	0	0	0	mosaic
303713	value	2	80.5	80.5	80.5	0	80.5	0	0	0	extremely skewed
303714	value	3	56	74.7	65.3	9.35	65.333	9.35	5.398	23.227	mosaic
303717	value	2	51.3	51.3	51.3	0	51.3	0	0	0	mosaic
303718	value	3	64.5	64.9	64.7	0.2	64.7	0.2	0.115	0.497	mosaic
303730	value	3	57.5	58.4	58	0.45	57.967	0.451	0.26	1.12	mosaic
303737	value	2	64.2	64.2	64.2	0	64.2	0	0	0	mosaic
303740	value	3	53.9	59.9	56.9	3	56.9	3	1.732	7.452	mosaic
303745	value	3	55.5	56.8	56.1	0.65	56.133	0.651	0.376	1.616	mosaic
303756	value	2	54.6	54.6	54.6	0	54.6	0	0	0	mosaic
303757	value	2	64.6	64.6	64.6	0	64.6	0	0	0	mosaic
303762	value	3	72.3	72.7	72.5	0.2	72.5	0.2	0.115	0.497	skewed
303767	value	2	62.9	62.9	62.9	0	62.9	0	0	0	mosaic
303768	value	2	58.5	58.5	58.5	0	58.5	0	0	0	mosaic
303772	value	3	64.5	65.4	65	0.45	64.967	0.451	0.26	1.12	mosaic
303773	value	3	51.3	51.7	51.5	0.2	51.5	0.2	0.115	0.497	mosaic
