sample	variable	n	min	max	median	iqr	mean	sd	se	ci	XCI pattern
321890	value	4	55.4	69.8	65.85	6.075	64.225	6.316	3.158	10.051	mosaic
321892	value	2	58.9	58.9	58.9	0	58.9	0	0	0	mosaic
321922	value	4	61.2	68	64.45	1.775	64.525	2.778	1.389	4.42	mosaic
321932	value	4	54.4	64.4	56.85	4.375	58.125	4.458	2.229	7.094	mosaic
321945	value	6	50.9	65.5	57.9	7.75	58.667	5.666	2.313	5.946	mosaic
321954	value	5	54.5	57.5	55.9	0.7	55.88	1.096	0.49	1.361	mosaic
321957	value	4	50	68.8	64	8.15	61.7	8.336	4.168	13.264	mosaic
321966	value	6	56.7	68.6	61.8	3.05	61.717	4.066	1.66	4.267	mosaic
321967	value	4	65.4	70.6	67.95	1.375	67.975	2.123	1.062	3.379	mosaic
321976	value	4	70.1	76.3	73.35	1.625	73.275	2.533	1.266	4.03	skewed
321977	value	4	51.3	62.3	53.25	5.375	55.025	5.139	2.569	8.177	mosaic
321984	value	5	50.1	61.1	54.5	3.6	54.46	4.251	1.901	5.278	mosaic
321987	value	5	50	60.4	52.9	3.1	53.4	4.196	1.876	5.21	mosaic
321992	value	6	59.1	71.3	63.1	4.975	63.583	4.539	1.853	4.764	mosaic
321994	value	4	70.4	82.5	75.15	4	75.8	5.025	2.512	7.995	skewed
321996	value	3	50	54	52	2	52	2	1.155	4.968	mosaic
322012	value	5	71.6	79.2	75.3	1.3	75.32	2.727	1.22	3.386	skewed
322039	value	4	63.2	76.3	72.45	5.3	71.1	5.679	2.839	9.036	skewed
322041	value	2	65	65	65	0	65	0	0	0	mosaic
322043	value	3	65.3	76.4	70.8	5.55	70.833	5.55	3.204	13.787	mosaic
322053	value	3	78.8	79.4	79.1	0.3	79.1	0.3	0.173	0.745	skewed
322068	value	2	57.7	57.7	57.7	0	57.7	0	0	0	mosaic
322082	value	5	50.8	69.7	59.8	9.2	59.78	7.447	3.33	9.247	mosaic
322327	value	3	56.4	58	57.2	0.8	57.2	0.8	0.462	1.987	mosaic
322347	value	2	59.5	59.5	59.5	0	59.5	0	0	0	mosaic
322354	value	3	63.2	75.4	69.3	6.1	69.3	6.1	3.522	15.153	mosaic
322365	value	2	55.7	55.7	55.7	0	55.7	0	0	0	mosaic
322384	value	3	55.6	69.3	62.5	6.85	62.467	6.85	3.955	17.016	mosaic
322394	value	4	56.6	72.4	63.35	4.775	63.925	6.5	3.25	10.343	mosaic
322411	value	3	56.9	63.5	60.2	3.3	60.2	3.3	1.905	8.198	mosaic
322421	value	4	81.9	86.7	85.7	2.25	85	2.195	1.098	3.493	extremely skewed
322464	value	5	66.6	82	70.4	3.9	71.7	6.103	2.729	7.578	skewed
322468	value	5	50.4	52.1	51.3	0.4	51.32	0.622	0.278	0.772	mosaic
322620	value	6	50.7	61.9	55.95	1.575	55.783	3.641	1.486	3.821	mosaic
322646	value	3	82.6	82.9	82.8	0.15	82.767	0.153	0.088	0.379	extremely skewed
322671	value	6	50.3	60.9	54.35	4.875	54.817	3.941	1.609	4.136	mosaic
322730	value	6	50.5	73	58.75	7.175	59.9	7.81	3.188	8.196	mosaic
322731	value	5	50.1	56.8	53.9	4	53.88	2.791	1.248	3.466	mosaic
322738	value	5	51.1	59.7	55.8	2	55.8	3.147	1.407	3.908	mosaic
322755	value	2	70.6	70.6	70.6	0	70.6	0	0	0	mosaic
322757	value	3	54	57.1	55.5	1.55	55.533	1.55	0.895	3.851	mosaic
322779	value	2	55.3	55.3	55.3	0	55.3	0	0	0	mosaic
322784	value	5	66.5	72.3	68.2	0.8	68.76	2.152	0.963	2.673	mosaic
322828	value	4	58.9	66.9	64.85	3.425	63.875	3.541	1.77	5.634	mosaic
322829	value	5	70	94.5	85.7	3.6	84.6	9.019	4.033	11.198	extremely skewed
322835	value	5	55.3	64.3	58.9	1.9	58.88	3.381	1.512	4.198	mosaic
322860	value	6	52.5	65	57.05	6.05	57.583	4.743	1.936	4.977	mosaic
322892	value	5	52.9	58.5	54.1	1.2	54.78	2.192	0.981	2.722	mosaic
322910	value	5	50.5	75.4	64.4	9.8	64.38	9.567	4.279	11.88	mosaic
322920	value	2	56.4	56.4	56.4	0	56.4	0	0	0	mosaic
322960	value	3	50.5	52.8	51.6	1.15	51.633	1.15	0.664	2.858	mosaic
322978	value	3	52.3	60.4	55.2	4.05	55.967	4.104	2.369	10.195	mosaic
323211	value	3	60.7	70.6	65.7	4.95	65.667	4.95	2.858	12.297	mosaic
323213	value	4	73.3	84.1	77.8	5.55	78.25	4.703	2.351	7.483	skewed
323221	value	2	65.2	65.2	65.2	0	65.2	0	0	0	mosaic
323236	value	3	73	75.4	74.2	1.2	74.2	1.2	0.693	2.981	skewed
323240	value	3	58.1	61.8	60	1.85	59.967	1.85	1.068	4.596	mosaic
323252	value	2	57.2	57.2	57.2	0	57.2	0	0	0	mosaic
323259	value	4	58.9	78.7	70.2	6	69.5	8.144	4.072	12.958	mosaic
323266	value	2	74.7	74.7	74.7	0	74.7	0	0	0	skewed
323285	value	3	50.3	66.9	58.6	8.3	58.6	8.3	4.792	20.618	mosaic
323286	value	3	57	64.6	60.8	3.8	60.8	3.8	2.194	9.44	mosaic
323296	value	4	60.1	64.5	63.1	1.7	62.7	1.883	0.942	2.997	mosaic
323313	value	3	69.1	76.3	73.5	3.6	72.967	3.63	2.095	9.016	skewed
323315	value	4	78.2	83.5	80.15	1.85	80.5	2.22	1.11	3.532	extremely skewed
323317	value	2	84.3	84.3	84.3	0	84.3	0	0	0	extremely skewed
323327	value	5	51.2	61.1	58.3	2.4	57.68	3.871	1.731	4.806	mosaic
323333	value	3	64.9	73.1	69	4.1	69	4.1	2.367	10.185	mosaic
323356	value	3	69.7	71.4	70.6	0.85	70.567	0.85	0.491	2.113	mosaic
323361	value	5	58.9	75.2	73.1	3.5	70.22	6.583	2.944	8.174	mosaic
323952	value	6	50.3	57.5	53.8	2.525	53.883	2.506	1.023	2.63	mosaic
323955	value	4	59.5	80.1	66.45	7.625	68.125	8.734	4.367	13.898	mosaic
323984	value	5	54.6	71.2	64	5.3	63.98	6.254	2.797	7.765	mosaic
323987	value	2	60.2	60.2	60.2	0	60.2	0	0	0	mosaic
324002	value	3	61.2	62.2	61.7	0.5	61.7	0.5	0.289	1.242	mosaic
324003	value	3	60.4	67.1	63.6	3.35	63.7	3.351	1.935	8.325	mosaic
324010	value	5	62.2	78.7	70.3	2.1	70.34	5.882	2.63	7.303	mosaic
324044	value	2	53.3	53.3	53.3	0	53.3	0	0	0	mosaic
324048	value	4	59.2	63.9	60.4	2.075	60.975	2.089	1.044	3.324	mosaic
324062	value	2	79.7	79.7	79.7	0	79.7	0	0	0	skewed
324064	value	2	64.3	64.3	64.3	0	64.3	0	0	0	mosaic
324066	value	5	62	78.4	70.6	7.5	70.58	6.387	2.856	7.93	mosaic
324074	value	5	56.3	65.9	61.3	2.8	61.3	3.541	1.584	4.397	mosaic
324093	value	5	55.1	61.7	58.5	4.1	58.32	2.752	1.231	3.417	mosaic
324122	value	6	56.5	69.1	62.2	8.225	62.883	5.246	2.142	5.505	mosaic
324126	value	6	60.4	75.9	65.35	2.225	66.233	5.206	2.125	5.463	mosaic
324147	value	4	50.1	58.4	51.75	3.95	53	3.822	1.911	6.081	mosaic
324188	value	2	78.8	78.8	78.8	0	78.8	0	0	0	skewed
324192	value	6	57.1	74.9	65.85	2.55	66.267	5.745	2.346	6.03	mosaic
324193	value	3	52.3	53.7	53	0.7	53	0.7	0.404	1.739	mosaic
324194	value	3	51.3	60.1	55.7	4.4	55.7	4.4	2.54	10.93	mosaic
324196	value	4	67.8	81.6	69.4	5.1	72.05	6.474	3.237	10.301	skewed
324215	value	4	53.8	62.4	58.5	2.45	58.3	3.522	1.761	5.605	mosaic
324222	value	3	51.9	52.1	52	0.1	52	0.1	0.058	0.248	mosaic
324228	value	3	52.5	65.8	59.1	6.65	59.133	6.65	3.839	16.52	mosaic
324249	value	2	78.1	78.1	78.1	0	78.1	0	0	0	skewed
324251	value	3	55.8	59.1	57.5	1.65	57.467	1.65	0.953	4.099	mosaic
324408	value	6	54.6	70.7	62	2.325	62.3	5.185	2.117	5.441	mosaic
324415	value	5	51.7	55.9	53.7	1.5	53.72	1.579	0.706	1.96	mosaic
324416	value	6	56.9	70.9	60.1	2.475	61.383	4.96	2.025	5.205	mosaic
324420	value	5	58.9	70.8	64.6	10.6	65.06	5.65	2.527	7.015	mosaic
324421	value	2	55	55	55	0	55	0	0	0	mosaic
324431	value	3	53.5	58.7	56.1	2.6	56.1	2.6	1.501	6.459	mosaic
324434	value	2	86.6	86.6	86.6	0	86.6	0	0	0	extremely skewed
324643	value	2	69.2	69.2	69.2	0	69.2	0	0	0	mosaic
324645	value	6	50.7	62.6	55.7	7.325	56.667	4.858	1.983	5.098	mosaic
324655	value	4	75	88.3	82.4	3.625	82.025	5.449	2.725	8.671	extremely skewed
324657	value	5	64.6	72.7	67.8	3.5	67.8	3.233	1.446	4.015	mosaic
324664	value	3	57.4	60	58.7	1.3	58.7	1.3	0.751	3.229	mosaic
324681	value	4	52.9	58.3	56	1.35	55.8	2.217	1.108	3.527	mosaic
821022	value	4	77.8	85.9	81.2	2.475	81.525	3.337	1.669	5.31	extremely skewed
