sample	method	variable	n	min	max	median	iqr	mean	sd	se	ci
301042	mini	value	3	50.1	51.4	50.8	0.65	50.767	0.651	0.376	1.616
301045	mini	value	3	50.6	57.3	54	3.35	53.967	3.35	1.934	8.322
301052	mini	value	2	55.2	55.2	55.2	0	55.2	0	0	0
301064	mini	value	3	50.1	56.1	53.1	3	53.1	3	1.732	7.452
301065	mini	value	3	58.3	63.6	61	2.65	60.967	2.65	1.53	6.583
301086	mini	value	3	54.1	60.1	57.1	3	57.1	3	1.732	7.452
301088	mini	value	3	65.9	76.6	71.2	5.35	71.233	5.35	3.089	13.29
301091	mini	value	3	54.3	55.9	55.1	0.8	55.1	0.8	0.462	1.987
301092	mini	value	3	59.1	67.8	63.5	4.35	63.467	4.35	2.512	10.806
301095	mini	value	2	51.6	51.6	51.6	0	51.6	0	0	0
301099	mini	value	2	64.2	64.2	64.2	0	64.2	0	0	0
301102	mini	value	2	51.6	51.6	51.6	0	51.6	0	0	0
301104	mini	value	3	71.9	75.6	73.8	1.85	73.767	1.85	1.068	4.596
301105	mini	value	3	50.5	54.6	52.5	2.05	52.533	2.05	1.184	5.093
301106	mini	value	3	52.8	57.9	55.3	2.55	55.333	2.55	1.472	6.335
301107	mini	value	3	61.4	62.9	62.1	0.75	62.133	0.751	0.433	1.864
301111	mini	value	2	51.4	51.4	51.4	0	51.4	0	0	0
301116	mini	value	3	50.6	54.4	52.5	1.9	52.5	1.9	1.097	4.72
301121	mini	value	3	56.7	65.9	61.3	4.6	61.3	4.6	2.656	11.427
301125	mini	value	2	66.9	66.9	66.9	0	66.9	0	0	0
301127	mini	value	3	50.7	53.6	52.2	1.45	52.167	1.45	0.837	3.603
301134	mini	value	3	50.5	51.2	50.9	0.35	50.867	0.351	0.203	0.872
301139	mini	value	3	55.9	72.5	64.2	8.3	64.2	8.3	4.792	20.618
301140	mini	value	2	50.4	50.4	50.4	0	50.4	0	0	0
301143	mini	value	3	53.6	56.4	55	1.4	55	1.4	0.808	3.478
301144	mini	value	2	52.3	52.3	52.3	0	52.3	0	0	0
301149	mini	value	2	62.4	62.4	62.4	0	62.4	0	0	0
301150	mini	value	2	55.1	55.1	55.1	0	55.1	0	0	0
301151	mini	value	2	66.8	66.8	66.8	0	66.8	0	0	0
301152	mini	value	3	55.6	58.4	57	1.4	57	1.4	0.808	3.478
301154	mini	value	3	57.1	59.5	58.3	1.2	58.3	1.2	0.693	2.981
301160	mini	value	3	50.7	56.1	53.4	2.7	53.4	2.7	1.559	6.707
301168	mini	value	3	64.8	68.8	66.8	2	66.8	2	1.155	4.968
301170	mini	value	3	71.3	76.8	74	2.75	74.033	2.75	1.588	6.832
301173	mini	value	2	59.4	59.4	59.4	0	59.4	0	0	0
301184	mini	value	3	51.7	53.2	52.5	0.75	52.467	0.751	0.433	1.864
301190	mini	value	3	58.7	63	60.9	2.15	60.867	2.15	1.241	5.341
301191	mini	value	3	59.1	72.4	65.8	6.65	65.767	6.65	3.839	16.52
301195	mini	value	3	52.2	57	54.6	2.4	54.6	2.4	1.386	5.962
301197	mini	value	2	51	51	51	0	51	0	0	0
301198	mini	value	2	63.5	63.5	63.5	0	63.5	0	0	0
301202	mini	value	3	51.7	57.4	54.5	2.85	54.533	2.85	1.646	7.08
301206	mini	value	3	52	54	53	1	53	1	0.577	2.484
301209	mini	value	3	71.3	72.9	72.1	0.8	72.1	0.8	0.462	1.987
301213	mini	value	2	88.6	88.6	88.6	0	88.6	0	0	0
301215	mini	value	3	61.4	61.7	61.5	0.15	61.533	0.153	0.088	0.379
301217	mini	value	3	57.1	60.5	58.8	1.7	58.8	1.7	0.981	4.223
301227	mini	value	3	85.1	90.4	87.8	2.65	87.767	2.65	1.53	6.583
301228	mini	value	3	51.3	51.6	51.5	0.15	51.467	0.153	0.088	0.379
301234	mini	value	3	67.9	72.7	70.3	2.4	70.3	2.4	1.386	5.962
301236	mini	value	3	55.7	73	64.3	8.65	64.333	8.65	4.994	21.488
301239	mini	value	3	61.7	69.5	65.6	3.9	65.6	3.9	2.252	9.688
301245	mini	value	3	52.1	58.6	55.4	3.25	55.367	3.25	1.876	8.074
301252	mini	value	3	52.3	55.7	54	1.7	54	1.7	0.981	4.223
301255	mini	value	3	52	56.8	54.4	2.4	54.4	2.4	1.386	5.962
301262	mini	value	3	50.4	66.2	58.3	7.9	58.3	7.9	4.561	19.625
301273	mini	value	3	57.3	64.8	61	3.75	61.033	3.75	2.165	9.316
301276	mini	value	2	55.6	55.6	55.6	0	55.6	0	0	0
301282	mini	value	3	55.1	60	57.5	2.45	57.533	2.45	1.415	6.087
301284	mini	value	2	54.1	54.1	54.1	0	54.1	0	0	0
301295	mini	value	2	50.4	50.4	50.4	0	50.4	0	0	0
301297	mini	value	2	50.4	50.4	50.4	0	50.4	0	0	0
301356	mini	value	3	51	67.8	59.4	8.4	59.4	8.4	4.85	20.867
301359	mini	value	2	52.2	52.2	52.2	0	52.2	0	0	0
301363	mini	value	3	94.6	96.2	95.4	0.8	95.4	0.8	0.462	1.987
301374	mini	value	3	61.6	68.7	65.2	3.55	65.167	3.55	2.05	8.819
301381	mini	value	3	52.7	59.9	56.3	3.6	56.3	3.6	2.078	8.943
301383	mini	value	2	74.5	74.5	74.5	0	74.5	0	0	0
301385	mini	value	2	59.2	59.2	59.2	0	59.2	0	0	0
301394	mini	value	2	55	55	55	0	55	0	0	0
301402	mini	value	3	73.3	75.3	74.3	1	74.3	1	0.577	2.484
301406	mini	value	2	56.2	56.2	56.2	0	56.2	0	0	0
301410	mini	value	3	62.7	63.6	63.2	0.45	63.167	0.451	0.26	1.12
301411	mini	value	3	75.2	80	77.6	2.4	77.6	2.4	1.386	5.962
301414	mini	value	3	65.9	89.4	77.7	11.75	77.667	11.75	6.784	29.189
301423	mini	value	3	50.5	52.2	51.4	0.85	51.367	0.85	0.491	2.113
301425	mini	value	2	79.6	79.6	79.6	0	79.6	0	0	0
301435	mini	value	2	86.4	86.4	86.4	0	86.4	0	0	0
301443	mini	value	3	63.1	66.4	64.8	1.65	64.767	1.65	0.953	4.099
301445	mini	value	2	66.6	66.6	66.6	0	66.6	0	0	0
301446	mini	value	3	59.9	68.7	64.3	4.4	64.3	4.4	2.54	10.93
301447	mini	value	2	72.7	72.7	72.7	0	72.7	0	0	0
301456	mini	value	3	50.2	58.6	54.4	4.2	54.4	4.2	2.425	10.433
301458	mini	value	2	58.3	58.3	58.3	0	58.3	0	0	0
301462	mini	value	2	59.1	59.1	59.1	0	59.1	0	0	0
301463	mini	value	3	59	59	59	0	59	0	0	0
301464	mini	value	3	58.2	63.6	60.9	2.7	60.9	2.7	1.559	6.707
301465	mini	value	2	71	71	71	0	71	0	0	0
301472	mini	value	2	57.2	57.2	57.2	0	57.2	0	0	0
301478	mini	value	3	65.5	67.4	66.4	0.95	66.433	0.95	0.549	2.361
